Verse,Start Time,End Time
(Interlude),0:05,0:11
3...,0:11,0:12,
2...,0:12,0:13,
1...,0:13,0:14,
Di ko man maamin,0:14,0:18,
Ikaw ay mahalaga sa akin,0:18,0:23,
Di ko man maisip,0:25,0:28,
Sa pagtulog ikaw ang panaginip,0:29,0:35,
Malabo man ang aking pag-iisip,0:37,0:42,
Sana'y pakinggan mo,0:43,0:45,
Ang sigaw nitong damdamin,0:45,0:50,
Ako'y alipin mo kahit hindi batid,0:51,0:55,
Aaminin ko minsan ako'y manhid,0:58,1:02,
Sana at iyong naririnig,1:03,1:08,
Sa'yong yakap ako'y nasasabik,1:10,1:15,
(Interlude),1:15,1:27,
3...,1:27,1:28,
2...,1:28,1:29,
1...,1:29,1:30,
Ayoko sa iba,1:30,1:34
Sa'yo ako ay hindi magsasawa,1:35,1:40
Ano man ang 'yong sabihin,1:41,1:45
Umasa ka ito ay diringgin,1:47,1:51
Madalas man na parang,1:53,1:57
Aso at pusa giliw,1:57,1:59
Sa piling mo ako ay masaya,1:59,2:03
Ako'y alipin mo kahit hindi batid,2:08,2:12
Aaminin ko minsan ako'y manhid,2:14,2:19
Sana at iyong naririnig,2:20,2:25
Sa'yong yakap ako'y nasasabik,2:27,2:32
(Interlude),2:32,2:54
3...,2:54,2:55,
2...,2:55,2:56,
1...,2:56,2:57,
Pilit mang abutin ang mga tala,2:57,3:03
Basta sa akin 'wag kang mawawala,3:04,3:12
Ako'y alipin mo kahit hindi batid,3:12,3:18
Aaminin ko minsan ako'y manhid,3:19,3:24
Sana ay iyong naririnig,3:25,3:30
Sa'yong yakap ako'y nasasabik,3:31,3:36
Pagka't ikaw lang ang nais makatabi,3:37,3:42
Malamig man o mainit ang gabi,3:43,3:49
Nais ko sanang iparating,3:49,3:56
Na ikaw lamang ang siyang aking..3:56,4:03
iibigin,4:03,4:07
(Music),4:07,4:24
